,seconds_elapsed,bpm
328,8.96138,99.752007625
329,8.97138,99.736007625
330,8.98138,99.720007625
331,8.99138,99.704007625
332,9.00138,99.688007625
333,9.01138,99.67200762499999
334,9.02138,99.656007625
335,9.03138,99.640007625
336,9.04138,99.624007625
337,9.05138,99.608007625
338,9.06138,99.592007625
339,9.07138,99.576007625
340,9.08138,99.560007625
341,9.09138,99.544007625
342,9.10138,99.528007625
343,9.11138,99.512007625
344,9.12138,99.496007625
345,9.13138,99.480007625
346,9.14138,99.464007625
347,9.15138,99.448007625
348,9.16138,99.432007625
349,9.17138,99.416007625
350,9.18138,99.400007625
351,9.19138,99.384007625
352,9.20138,99.368007625
353,9.21138,99.352007625
354,9.22138,99.336007625
355,9.23138,99.320007625
356,9.24138,99.304007625
357,9.25138,99.288007625
358,9.26138,99.272007625
359,9.27138,99.256007625
360,9.28138,99.240007625
361,9.29138,99.224007625
362,9.30138,99.208007625
363,9.31138,99.192007625
364,9.32138,99.176007625
365,9.33138,99.160007625
366,9.34138,99.144007625
367,9.35138,99.128007625
368,9.36138,99.112007625
369,9.37138,99.096007625
370,9.38138,99.080007625
371,9.39138,99.064007625
372,9.40138,99.048007625
373,9.41138,99.032007625
374,9.42138,99.016007625
375,9.43138,99.000007625
376,9.44138,98.984007625
377,9.45138,98.968007625
378,9.46138,98.952007625
379,9.47138,98.936007625
380,9.48138,98.920007625
381,9.49138,98.904007625
382,9.50138,98.888007625
383,9.51138,98.872007625
384,9.52138,98.856007625
385,9.53138,98.840007625
386,9.54138,98.824007625
387,9.55138,98.808007625
388,9.56138,98.792007625
389,9.57138,98.776007625
390,9.58138,98.760007625
391,9.59138,98.744007625
392,9.60138,98.728007625
393,9.61138,98.712007625
394,9.62138,98.696007625
395,9.63138,98.680007625
396,9.64138,98.664007625
397,9.65138,98.648007625
398,9.66138,98.632007625
399,9.67138,98.616007625
400,9.68138,98.600007625
401,9.69138,98.584007625
402,9.70138,98.56800762499999
403,9.71138,98.552007625
404,9.72138,98.536007625
405,9.73138,98.520007625
406,9.74138,98.504007625
407,9.75138,98.488007625
408,9.76138,98.472007625
409,9.77138,98.456007625
410,9.78138,98.44000762499999
411,9.79138,98.424007625
412,9.80138,98.408007625
413,9.81138,98.392007625
414,9.82138,98.376007625
415,9.83138,98.360007625
416,9.84138,98.344007625
417,9.85138,98.328007625
418,9.86138,98.31200762499999
419,9.87138,98.296007625
420,9.88138,98.280007625
421,9.89138,98.264007625
422,9.90138,98.248007625
423,9.91138,98.232007625
424,9.92138,98.216007625
425,9.93138,98.200007625
426,9.94138,98.18400762499999
427,9.95138,98.168007625
428,9.96138,98.152007625
429,9.97138,98.136007625
430,9.98138,98.120007625
431,9.99138,98.104007625
432,10.00138,98.088007625
433,10.01138,98.072007625
434,10.02138,98.05600762499999
435,10.03138,98.040007625
436,10.04138,98.024007625
437,10.05138,98.008007625
438,10.06138,97.992007625
439,10.07138,97.976007625
440,10.08138,97.960007625
441,10.09138,97.944007625
442,10.10138,97.92800762499999
443,10.11138,97.912007625
444,10.12138,97.896007625
445,10.13138,97.880007625
446,10.14138,97.864007625
447,10.15138,97.848007625
448,10.16138,97.832007625
449,10.17138,97.816007625
450,10.18138,97.80000762499999
451,10.19138,97.784007625
452,10.20138,97.768007625
453,10.21138,97.752007625
454,10.22138,97.736007625
455,10.23138,97.720007625
456,10.24138,97.704007625
457,10.25138,97.688007625
458,10.26138,97.67200762499999
459,10.27138,97.656007625
460,10.28138,97.640007625
461,10.29138,97.624007625
462,10.30138,97.608007625
463,10.31138,97.592007625
464,10.32138,97.576007625
465,10.33138,97.560007625
466,10.34138,97.544007625
467,10.35138,97.528007625
468,10.36138,97.512007625
469,10.37138,97.496007625
470,10.38138,97.480007625
471,10.39138,97.464007625
472,10.40138,97.448007625
473,10.41138,97.432007625
474,10.42138,97.416007625
475,10.43138,97.400007625
476,10.44138,97.384007625
477,10.45138,97.368007625
478,10.46138,97.352007625
479,10.47138,97.336007625
480,10.48138,97.320007625
481,10.49138,97.304007625
482,10.50138,97.288007625
483,10.51138,97.272007625
484,10.52138,97.256007625
485,10.53138,97.240007625
486,10.54138,97.224007625
487,10.55138,97.208007625
488,10.56138,97.192007625
489,10.57138,97.176007625
490,10.58138,97.160007625
491,10.59138,97.144007625
492,10.60138,97.128007625
493,10.61138,97.112007625
494,10.62138,97.096007625
495,10.63138,97.080007625
496,10.64138,97.064007625
497,10.65138,97.048007625
498,10.66138,97.032007625
499,10.67138,97.016007625
500,10.68138,97.000007625
501,10.69138,96.998000953125
502,10.70138,96.996000953125
503,10.71138,96.994000953125
504,10.72138,96.992000953125
505,10.73138,96.990000953125
506,10.74138,96.988000953125
507,10.75138,96.986000953125
508,10.76138,96.984000953125
509,10.77138,96.982000953125
510,10.78138,96.980000953125
511,10.79138,96.978000953125
512,10.80138,96.976000953125
513,10.81138,96.974000953125
514,10.82138,96.972000953125
515,10.83138,96.970000953125
516,10.84138,96.968000953125
517,10.85138,96.966000953125
518,10.86138,96.964000953125
519,10.87138,96.962000953125
520,10.88138,96.960000953125
521,10.89138,96.958000953125
522,10.90138,96.956000953125
523,10.91138,96.954000953125
524,10.92138,96.952000953125
525,10.93138,96.950000953125
526,10.94138,96.948000953125
527,10.95138,96.946000953125
528,10.96138,96.944000953125
529,10.97138,96.942000953125
530,10.98138,96.940000953125
531,10.99138,96.938000953125
532,11.00138,96.936000953125
533,11.01138,96.934000953125
534,11.02138,96.932000953125
535,11.03138,96.930000953125
536,11.04138,96.928000953125
537,11.05138,96.926000953125
538,11.06138,96.924000953125
539,11.07138,96.922000953125
540,11.08138,96.920000953125
541,11.09138,96.918000953125
542,11.10138,96.916000953125
543,11.11138,96.914000953125
544,11.12138,96.912000953125
545,11.13138,96.910000953125
546,11.14138,96.908000953125
547,11.15138,96.906000953125
548,11.16138,96.904000953125
549,11.17138,96.902000953125
550,11.18138,96.900000953125
551,11.19138,96.898000953125
552,11.20138,96.896000953125
553,11.21138,96.894000953125
554,11.22138,96.892000953125
555,11.23138,96.890000953125
556,11.24138,96.888000953125
557,11.25138,96.886000953125
558,11.26138,96.884000953125
559,11.27138,96.882000953125
560,11.28138,96.880000953125
561,11.29138,96.878000953125
562,11.30138,96.876000953125
563,11.31138,96.874000953125
564,11.32138,96.872000953125
565,11.33138,96.870000953125
566,11.34138,96.868000953125
567,11.35138,96.866000953125
568,11.36138,96.864000953125
569,11.37138,96.862000953125
570,11.38138,96.860000953125
571,11.39138,96.858000953125
572,11.40138,96.856000953125
573,11.41138,96.854000953125
574,11.42138,96.852000953125
575,11.43138,96.850000953125
576,11.44138,96.848000953125
